,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
1072,Chapman Property - Newcastle,"6/298 Park Avenue, Kotara","$$390,00 - $410,000",Villa,2 bedrooms,1 bathroom,1 parking space,N/A
1073,Property Central - ERINA,"479 Tumbi Road, Wamberal","$1,280,000 - $1,360,000",Acreage,4 bedrooms,3 bathrooms,3 parking spaces,0.67 ha land size
1074,Ray White - Morisset,"7 Lillypilly Lane, Cooranbong","$1,075,000",House,5 bedrooms,2 bathrooms,10 parking spaces,0.86 ha land size
1075,Ray White - Caringbah,"34 Denman Avenue, Woolooware","For Sale Price Guide $1,180,000 to $1,250,000",Residential Land,0,0,0,367.6 m² land size
1076,Ray White - Picton,"4 Matcham Road, Buxton","Price Range $590,000 - $620,000",House,4 bedrooms,2 bathrooms,1 parking space,N/A
1077,Wiseberry - Wyong,"Address available on request, Gorokan","$550,000 - $600,000",House,3 bedrooms,2 bathrooms,4 parking spaces,570 m² land size
1078,McKillop Property Pty Ltd - Mittagong,"23 Brigadoon Drive, Bundanoon","Price Guide $795,000",House,3 bedrooms,1 bathroom,2 parking spaces,978 m² land size
1079,First National Real Estate - Toronto,"71 Sunlight Parade, Fishing Point","$960,000",House,4 bedrooms,2 bathrooms,2 parking spaces,683 m² land size
1080,Elders Real Estate - Jamberoo,"15 BEATTIE STREET, Jamberoo","$789,000",House,3 bedrooms,2 bathrooms,2 parking spaces,503 m² land size
1081,Residential Real Estate Agents - Mona Vale,"63 Mona Vale Road, Mona Vale",Preview,House,3 bedrooms,2 bathrooms,3 parking spaces,"1,167 m² land size"
1082,George Brand Real Estate - Kariong,"22 Jarrah Drive, Kariong","$639,000",House,3 bedrooms,1 bathroom,2 parking spaces,604 m² land size
1083,Ray White - Kurrajong,"41 Mountain View Close, Kurrajong Hills",JUST LISTED,House,5 bedrooms,3 bathrooms,3 parking spaces,0.4 ha land size
1084,Ray White - Kurrajong,"339 Lieutenant Bowen Drive, Bowen Mountain","Neg $549,000",House,3 bedrooms,1 bathroom,2 parking spaces,676.6 m² land size
1085,South Coast Prestige Properties - Kiama,"6 Jerrara Avenue, Kiama",New to Market,House,5 bedrooms,2 bathrooms,2 parking spaces,664 m² land size
1086,Bespoke Realty Group - GLENMORE PARK,"11 Corella Crescent, Glenmore Park","$669,000 - $689,000",House,4 bedrooms,2 bathrooms,2 parking spaces,450 m² land size
1087,Sublime Property Agents - St Peters,"26 Station Street, Tempe",Auction (unless sold prior),House,3 bedrooms,2 bathrooms,0,N/A
1088,Langlands Property - Coffs Harbour,"Unit 2/59 Perry Dr, Coffs Harbour","$299,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
1089,Louis Carr Glenhaven - Castle Hill,"54 Knightsbridge Avenue, Glenwood",Contact Agent,House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1090,Cunninghams Real Estate,"49 Francis Street, Manly","Guide $1,900,000 - $2,000,000",House,3 bedrooms,1 bathroom,1 parking space,N/A
1091,Ray White  - Castle Hill ,"4 Tuckwell Road, Castle Hill",Auction,House,3 bedrooms,1 bathroom,1 parking space,968 m² land size
1092,Ray White - Brighton-Le-Sands,"8J/36-42 Princess Street, Brighton-Le-Sands",Contact Agent,Unit,2 bedrooms,2 bathrooms,1 parking space,140 m² building size
1093,Ray White - Blackheath,"111 Shipley Road, Blackheath","$695,000 - $760,000",House,2 bedrooms,2 bathrooms,1 parking space,"2,105 m² land size"
1094,Phillips Pantzer Donnelley - WOOLLAHRA,"24 Gowrie Avenue, Bondi Junction",AUCTION,House,5 bedrooms,2 bathrooms,0,N/A
1095,Harcourts - Ulladulla,"197 Green Street, Ulladulla","$460,000",House,2 bedrooms,1 bathroom,1 parking space,669 m² land size
1096,Snowden Parkes Real Estate Agents - Ryde,"818G/4 Devlin Street, Ryde","For Sale: $650,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1097,Snowden Parkes Real Estate Agents - Ryde,"2/64-66 Falconer Street, West Ryde","For Sale: $995,000",Villa,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1098,Starr Partners - Merrylands,"11 Pambula Crescent, Merrylands","Price Guide $800,000 - $830,000",House,4 bedrooms,2 bathrooms,0,556.4 m² land size
1099,Starr Partners - Merrylands,"8/19-21 Chiltern Road, Guildford","Price Guide $620,000 - $660,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,N/A
1100,Harcourts Excellence KURRAJONG - WINDSOR,"10 Fairfield Avenue, Windsor","$790,000 - $850,000",House,4 bedrooms,1 bathroom,0,556 m² land size
1101,McGrath - Ballina,"33 Tara Downs, Lennox Head",Auction,House,6 bedrooms,5 bathrooms,3 parking spaces,N/A
1102,Jim Aitken & Partners - Glenbrook,"5 Nancy Street, St Marys","$550,000 - $600,000",House,3 bedrooms,1 bathroom,1 parking space,524 m² land size
1103,Tracy Yap Realty - Epping,"75/20 Herbert Street, West Ryde",Auction 9th Feb at 10.15am (Unless Sold Prior),Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1104,Raine & Horne - Huskisson,"18 Fairfax Road, Woollamia","$700,000",House,2 bedrooms,1 bathroom,1 parking space,2.22 ha land size
1105,Raine & Horne  - Port Macquarie  ,"57 Clifton Drive, Port Macquarie","$599,000",House,4 bedrooms,3 bathrooms,3 parking spaces,797 m² land size
1106,Harcourts Hills Living - Baulkham Hills,"39 Koorabel Road, Lalor Park","Price Guide: $600,000 - $650,000",House,3 bedrooms,2 bathrooms,4 parking spaces,689.2 m² land size
1107,Belle Property - Parramatta,"110/1-3 Valentine Avenue, Parramatta","$295,000 - $310,000",Apartment,1 bedroom,1 bathroom,0,N/A
1108,AQ Properties - Birrong,"23 Railway Parade, Lidcombe",Offers Invited,Townhouse,3 bedrooms,3 bathrooms,2 parking spaces,N/A
1109,Property Central - ERINA,"84 Malison Street, Wyoming",Just Listed,House,4 bedrooms,2 bathrooms,2 parking spaces,689 m² land size
1110,Century 21 - Hometown Realty,"6 Beddek Street, McGraths Hill",JUST LISTED,House,3 bedrooms,1 bathroom,4 parking spaces,720 m² land size
1111,Yass Valley Property - Yass,"61 Meehan Street, Yass",Auction,House,3 bedrooms,1 bathroom,2 parking spaces,"1,372 m² land size"
1112,Park Properties (Aust) Pty Ltd - Erskineville,"2101/8 Eve Street, Erskineville",For sale,Apartment,1 bedroom,1 bathroom,0,N/A
1113,Ray White - Goulburn,"9 Edward Street, Goulburn","$520,000 - $535,000",House,3 bedrooms,2 bathrooms,2 parking spaces,352.9 m² land size
1114,Ray White - Goulburn,"11 Edward Street, Goulburn","$470,000 - $495,000",House,3 bedrooms,2 bathrooms,1 parking space,265.3 m² land size
1115,Ray White - Albury,"562 Roach Street, Lavington","$299,000",House,4 bedrooms,1 bathroom,5 parking spaces,824 m² land size
1116,LJ Hooker - Port Macquarie/Wauchope,"2/2 Emily Avenue, Port Macquarie",Auction Rydges 7th February @6:00pm,House,3 bedrooms,1 bathroom,2 parking spaces,464 m² land size
1117,LJ Hooker - Dural,"21 Cairngorm Avenue, Glenhaven",Just Listed,House,4 bedrooms,3 bathrooms,2 parking spaces,851 m² land size
1118,Belle Property - Leura,"37-39 Waratah Road, Wentworth Falls",Contact Agent,House,5 bedrooms,2 bathrooms,1 parking space,0.5 ha land size
1119,Seeto Real Estate - North Strathfield ,"60 Hill Road, Birrong",Auction,Residential Land,0,0,0,"1,330 m² land size"
1120,LJ Hooker - Palm Beach,"46 Monash Avenue, Great Mackerel Beach","$599,000",House,1 bedroom,1 bathroom,0,493 m² land size
1121,McGrath - Epping,"1704/330 Church Street, Parramatta","$600,000 - $650,000",Apartment,1 bedroom,1 bathroom,0,N/A
1122,Stone Real Estate - Newcastle,"14 Ridley Street, Edgeworth",Contact Agent,House,3 bedrooms,1 bathroom,1 parking space,N/A
1123,Knight Bailey - BOWRAL,"Address available on request, Burradoo","$1,995,000",House,4 bedrooms,3 bathrooms,2 parking spaces,"2,970 m² land size"
1124,Peter Fisher Real Estate - Orange,"31 Moad Street, Orange","$274,000",House,3 bedrooms,1 bathroom,2 parking spaces,663.6 m² land size
1125,Raine & Horne - Huskisson,"6 Walmer Avenue, Sanctuary Point","$499,000",House,3 bedrooms,1 bathroom,1 parking space,752.46 m² land size
1126,PRDnationwide - Port Stephens,"56 Randall Drive, Salamander Bay",Forthcoming Auction,House,5 bedrooms,3 bathrooms,2 parking spaces,596.4 m² land size
1127,Raine & Horne - Budgewoi,"51 Woolana Avenue, Budgewoi",New To Market,House,4 bedrooms,1 bathroom,2 parking spaces,556 m² land size
1128,Raine & Horne - Southern Highlands,"10 Chalkerville Road, Aylmerton","Price Guide $1,195,000 - $1,245,000",House,4 bedrooms,2 bathrooms,6 parking spaces,0.67 ha land size
1129,Century 21 Campsie - Campsie ,"9/20-22 Brandon Avenue, Bankstown","$609,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,170 m² building size
1130,LJ Hooker - Mona Vale,"3/1927 Pittwater Road, Bayview",Auction,Apartment,3 bedrooms,2 bathrooms,3 parking spaces,N/A
1131,Highland Property Agents  - CRONULLA,"29/54-58 Port Hacking Road, Sylvania",For Sale,Apartment,2 bedrooms,1 bathroom,2 parking spaces,N/A
1132,Stone Real Estate Dee Why - Dee Why,"6/21 Fielding Street, Collaroy","Auction Guide $650,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
1133,Lyon Estate Agents,"633 Old Northern Road, Dural",Contact Agent,Acreage,1 bathroom,0,0,2.02 ha land size
1134,Louis Carr Real Estate - West Pennant Hills | Cherrybrook,"2 The Croft Way, West Pennant Hills","$1,950,000 - $2,075,000",House,5 bedrooms,4 bathrooms,2 parking spaces,"1,208 m² land size"
1135,Phillips Pantzer Donnelley - WOOLLAHRA,"1306/174-186 Goulburn Street, Surry Hills",AUCTION,Apartment,1 bedroom,1 bathroom,0,N/A
1136,Harcourts Unlimited  - Blacktown,"3 Heber Place, Prospect",Contact Agent,House,3 bedrooms,3 bathrooms,2 parking spaces,N/A
1137,George Brand Real Estate - The Entrance,"10 Broonarra Street, The Entrance","Guide $890,000",House,4 bedrooms,2 bathrooms,2 parking spaces,493 m² land size
1138,Belle Property - Charlestown,"4/77 Wallsend Street, Kahibah","$640,000 - $700,000",House,3 bedrooms,2 bathrooms,2 parking spaces,185 m² building size
1139,George Brand Real Estate - The Entrance,"48a Swadling Street, Long Jetty","Guide $640,000",Villa,3 bedrooms,1 bathroom,2 parking spaces,313 m² land size
1140,Accom Property - Central Coast,"12/7-9 Campbell Crescent, Terrigal","$895,000",Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1141,Century 21 - Paradise Waters,"9  The Wharf, Salamander Bay","$699,000",House,4 bedrooms,2 bathrooms,2 parking spaces,585 m² land size
1142,George Brand Real Estate - The Entrance,"13/11-13 Ocean Parade, The Entrance","Guide $460,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1143,North Coast Lifestyle Properties,"166 Yelgun Road, Yelgun","$630,000",House,3 bedrooms,1 bathroom,3 parking spaces,"1,027 m² land size"
1144,Ray White - Albury,"401 Colley Street, Lavington","$269,000",House,4 bedrooms,2 bathrooms,2 parking spaces,660 m² land size
1145,Raine & Horne - Batemans Bay,"120 Vista Avenue, Catalina","$949,000",House,5 bedrooms,3 bathrooms,2 parking spaces,0.53 ha land size
1146,Laing+Simmons - Pennant Hills,"22 Carnoustie Street, Rouse Hill","For Sale: $929,000 - $959,000",House,4 bedrooms,2 bathrooms,1 parking space,536.6 m² land size
1147,George Brand Terrigal - Toukley,"Address available on request, Gorokan","Buyers Guide $510,000 - $550,000",House,3 bedrooms,2 bathrooms,2 parking spaces,607 m² land size
1148,LJ Hooker - Burwood,"10 Bay Street, Croydon",Forthcoming Auction - Joe Murania,House,4 bedrooms,3 bathrooms,2 parking spaces,N/A
1149,HEM Property - PORT MACQUARIE,"5 Kadina Crescent, Port Macquarie","$560,000",House,3 bedrooms,2 bathrooms,2 parking spaces,696 m² land size
1150,Wiseberry - Wyong,"Address available on request, Kanwal","$790,000 - $860,000",House,4 bedrooms,3 bathrooms,4 parking spaces,737 m² land size
1151,Richardson & Wrench - Bondi Junction,"2/3 Hamilton Street, Rose Bay",Price guide $1.1m,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1152,Century 21 - Rouse Hill,"54 Brampton Drive, Beaumont Hills","Price Guide: $975,000 - $1,050,000",House,5 bedrooms,2 bathrooms,2 parking spaces,701 m² land size
1153,Belle Property - Illawarra,"9/14 Market Place, Wollongong","$880,000 - $920,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1154,Wiseberry - Wyong,"Address available on request, Kanwal","$790,000 - $860,000",House,4 bedrooms,3 bathrooms,4 parking spaces,737 m² land size
1155,Richardson & Wrench - Bondi Junction,"2/3 Hamilton Street, Rose Bay",Price guide $1.1m,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1156,Century 21 - Rouse Hill,"54 Brampton Drive, Beaumont Hills","Price Guide: $975,000 - $1,050,000",House,5 bedrooms,2 bathrooms,2 parking spaces,701 m² land size
1157,Belle Property - Illawarra,"9/14 Market Place, Wollongong","$880,000 - $920,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1158,Property Central - ERINA,"46 Dolly Avenue, Springfield",Just Listed,House,3 bedrooms,1 bathroom,1 parking space,676 m² land size
1159,MMJ North - Corrimal,"44 Carroll Road, East Corrimal","$1,150,000 - $1,250,000",House,4 bedrooms,2 bathrooms,4 parking spaces,N/A
1160,Phillips Pantzer Donnelley - WOOLLAHRA,"123 Denison Street, Bondi Junction",Auction Feb 16th,House,4 bedrooms,2 bathrooms,0,N/A
1161,Ray White - Helensburgh,"53 The Drive, Stanwell Park",Auction unless sold prior,House,4 bedrooms,2 bathrooms,0,N/A
1162,Bob Berry Real Estate - Dubbo,"431 Wheelers Lane, Dubbo","$295,000",House,4 bedrooms,1 bathroom,1 parking space,650 m² land size
1163,Seven Real Estate - Castle HIll ,"11 Bentley Street, Rooty Hill",AUCTION (unless sold prior),House,5 bedrooms,2 bathrooms,1 parking space,347.2 m² land size
1164,LJ Hooker - Burwood,"15/7 Everton Road, Strathfield",Auction 09/02/2019 - Joe Murania,Unit,1 bedroom,1 bathroom,0,N/A
1165,Coastal Properties Australia - Tea Gardens,"89 The Boulevarde, Hawks Nest","$1,990,000",House,5 bedrooms,2 bathrooms,2 parking spaces,569 m² land size
1166,Capital One Real Estate - Kanwal,"9 Stringybark Rd, Hamlyn Terrace","$700,000 - $760,000",House,5 bedrooms,2 bathrooms,8 parking spaces,719.3 m² land size
1167,Purplebricks  - New South Wales ,"35 Mindanao Avenue, Lethbridge Park","$449,950",House,3 bedrooms,1 bathroom,2 parking spaces,664 m² land size
1168,MMJ South - Windang,"57 Barton Street, Oak Flats","$740,000 - $760,000",House,5 bedrooms,2 bathrooms,4 parking spaces,700 m² land size
1169,Ultimate Realestate Wollongong - WOLLONGONG,"13 Madden Street, Oak Flats","Price Guide $600,000",House,3 bedrooms,1 bathroom,1 parking space,697 m² land size
1170,Property Central - Penrith,"201/40-42 Barber Avenue, Penrith","$429,000",Unit,1 bedroom,1 bathroom,1 parking space,N/A
1171,South Coast Prestige Properties - Kiama,"75 Kalang Road, Kiama Heights","$1,000,000 - $1,100,000",House,3 bedrooms,2 bathrooms,1 parking space,575 m² land size
1172,The Agency  - Hunter Valley,"6 Stanley Close, Bolwarra Heights","$739,000",House,7 bedrooms,3 bathrooms,2 parking spaces,760 m² land size
1173,South Coast Prestige Properties - Kiama,"7A Love Street, Kiama","$700,000-$770,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,290 m² land size
1174,South Coast Prestige Properties - Kiama,"41  Surfleet Place, Kiama","$720,000 - $750,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,195 m² building size
1175,South Coast Prestige Properties - Kiama,"4 Merrick Circuit, Kiama","$900,000-$950,000",Townhouse,4 bedrooms,2 bathrooms,2 parking spaces,460 m² land size
1176,Gilmour Property Agents - Castle Hill,"19 First Farm Drive, Castle Hill","Price Guide $1,550,000 - $1,700,000",House,5 bedrooms,2 bathrooms,2 parking spaces,"1,009 m² land size"
1177,South Coast Prestige Properties - Kiama,"2 Merrick Circuit, Kiama","$950,000-$1,045,000",House,4 bedrooms,3 bathrooms,2 parking spaces,579 m² land size
1178,South Coast Prestige Properties - Kiama,"4a Merrick Circuit, Kiama","$1,100,000",Townhouse,4 bedrooms,3 bathrooms,2 parking spaces,435 m² land size
1179,Chapman Real Estate - Glenbrook,"17 Bellbird Crescent, Blaxland","$725,000 - $755,000",House,3 bedrooms,2 bathrooms,1 parking space,680 m² land size
1180,South Coast Prestige Properties - Kiama,"29 Saddleback Mountain Road, Kiama","$1,550,000 - $1,650,000",House,5 bedrooms,3 bathrooms,2 parking spaces,"1,135 m² land size"
1181,Ray White - North Richmond,"37 Coach House Place, Kurrajong Heights","$710,000 - $770,000",House,4 bedrooms,2 bathrooms,2 parking spaces,790 m² land size
1182,Western Sydney Property Group - Girraween,"Lot 7/ 5 - 11 Voysey  Close, Quakers Hill","$769,990",House,4 bedrooms,2 bathrooms,2 parking spaces,263 m² land size
1183,McGrath - Port Macquarie,"4B Boltwood Way, Thrumster","$545,000 - $575,000",Villa,3 bedrooms,2 bathrooms,2 parking spaces,457 m² land size
1184,Callala & Culburra First National -     ,"Lots 9 - 13/Stage 1  East Crescent, Culburra Beach",Contact Agent,Residential Land,0,0,0,N/A
1185,Belle Property - Castle Hill,"16 Miller Road, Glenorie",New to Market,House,6 bedrooms,4 bathrooms,6 parking spaces,1.6 ha land size
1186,Property Central - ERINA,"8 Borrowdale Court, Terrigal",Just Listed,House,5 bedrooms,2 bathrooms,2 parking spaces,709 m² land size
1187,LJ Hooker - Maclean,"4 Silky Oak Close, Lawrence","$520,000",Acreage,4 bedrooms,2 bathrooms,2 parking spaces,0.41 ha land size
1188,Carpenter Partners Real Estate - Tahmoor,"15B Milne Street, Tahmoor","$609,000",House,4 bedrooms,2 bathrooms,2 parking spaces,568 m² land size
1189,Peter Fisher Real Estate - Orange,"23 Park Street, Molong","$425,000",House,5 bedrooms,3 bathrooms,4 parking spaces,"1,062 m² land size"
1190,Cumberland Realty Group,"29 Bruce Street, Merrylands","$1,200,000-$1,250,000",House,5 bedrooms,3 bathrooms,2 parking spaces,650 m² land size
1191,NSW Realty,"26 Lowana Avenue, Merrylands","$799,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1192,Upstate - Dee Why,"10 Kerry Close, Beacon Hill",Auction,House,4 bedrooms,2 bathrooms,2 parking spaces,556 m² land size
1193,LJ Hooker - Blacktown,"53 Janice Street, Seven Hills",Auction,House,3 bedrooms,1 bathroom,1 parking space,"1,138 m² land size"
1194,Cobden & Hayson - Balmain,"17 Pashley Street, Balmain",Contact Agent,House,2 bedrooms,1 bathroom,0,101 m² land size
1195,Harcourts - Ulladulla,"76 Princes Highway, Lake Tabourie","$449,000",House,3 bedrooms,1 bathroom,1 parking space,646 m² land size
1196,Professionals Montgomery,"12/69 Gladstone Street, Kogarah","For Sale | $399,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1197,McGrath Estate Agents Inner West - Leichhardt,"18 Scotsman Street, Forest Lodge","Price guide $2,000,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,267 m² land size
1198,Tracy Roberts Real Estate - Wentworthville,"14/1 Greystanes Road, Greystanes","$564,999",Villa,2 bedrooms,2 bathrooms,1 parking space,N/A
1199,Shead Property - Chatswood,"10A Goodchap Road, Chatswood",Auction,House,4 bedrooms,2 bathrooms,2 parking spaces,386 m² land size
1200,Nolan Partners - Coffs Harbour,"5 Blue Luben Close, Korora","$899,000",House,4 bedrooms,2 bathrooms,2 parking spaces,676.6 m² land size
1201,LJ Hooker - Penrith,"124 Kareela Avenue, Penrith","$530,000 - $550,000",House,3 bedrooms,1 bathroom,2 parking spaces,N/A
1202,Di Jones Northern Suburbs - BEECROFT,"103 Hannah Street, Beecroft",Auction Saturday 23 February On Site 10.30 am,House,4 bedrooms,2 bathrooms,2 parking spaces,714.3 m² land size
1203,Di Jones Northern Suburbs - BEECROFT,"306/2 City View Road, Pennant Hills",Auction Saturday 9 February On Site 2.15 pm,Unit,1 bedroom,1 bathroom,0,N/A
1204,Ray White - Macarthur Group,"Address available on request, Gledswood Hills","$940,000 - $980,000",House,4 bedrooms,2 bathrooms,2 parking spaces,484 m² land size
